# age (yr),T_eff (K),L (L_sun)
2.09551e+08,3.00271e+03,1.82285e+04
2.09551e+08,3.02082e+03,1.82224e+04
2.09551e+08,3.03914e+03,1.82207e+04
2.09551e+08,3.05754e+03,1.82195e+04
2.09551e+08,3.07599e+03,1.82204e+04
2.09551e+08,3.09447e+03,1.82383e+04
2.09551e+08,3.11312e+03,1.82189e+04
2.09551e+08,3.13194e+03,1.82233e+04
2.09551e+08,3.15080e+03,1.82119e+04
2.09551e+08,3.16988e+03,1.82123e+04
2.09551e+08,3.18904e+03,1.82123e+04
2.09551e+08,3.20840e+03,1.82069e+04
2.09551e+08,3.27317e+03,1.82296e+04
2.09551e+08,3.33934e+03,1.82222e+04
2.09551e+08,3.40678e+03,1.81788e+04
2.09551e+08,3.47548e+03,1.81901e+04
2.09551e+08,3.54550e+03,1.82047e+04
2.09551e+08,3.61668e+03,1.82033e+04
2.09551e+08,3.68983e+03,1.81775e+04
2.09551e+08,3.76397e+03,1.82141e+04
2.09551e+08,3.83945e+03,1.81833e+04
2.09551e+08,3.91734e+03,1.81821e+04
2.09551e+08,3.99685e+03,1.81605e+04
2.09551e+08,4.07797e+03,1.81740e+04
2.09551e+08,4.16060e+03,1.81879e+04
2.09551e+08,4.24503e+03,1.81523e+04
2.09551e+08,4.33120e+03,1.81303e+04
2.09551e+08,4.41913e+03,1.81222e+04
2.09551e+08,4.50884e+03,1.81200e+04
2.09551e+08,4.60036e+03,1.81457e+04
2.09551e+08,4.69372e+03,1.81493e+04
2.09551e+08,4.78898e+03,1.81566e+04
2.09551e+08,4.88616e+03,1.81369e+04
2.09551e+08,4.98534e+03,1.81401e+04
2.09551e+08,5.08654e+03,1.81423e+04
2.09551e+08,5.18979e+03,1.81308e+04
2.09551e+08,5.29512e+03,1.81140e+04
2.09551e+08,5.40262e+03,1.81048e+04
2.09551e+08,5.51230e+03,1.80959e+04
2.09551e+08,5.62421e+03,1.80870e+04
2.09551e+08,5.73838e+03,1.80782e+04
2.09551e+08,5.85488e+03,1.80693e+04
2.09551e+08,5.97374e+03,1.80605e+04
2.09551e+08,6.09502e+03,1.80517e+04
2.09551e+08,6.21876e+03,1.80428e+04
2.09551e+08,6.34501e+03,1.80340e+04
2.09551e+08,6.47382e+03,1.80252e+04
2.09551e+08,6.60525e+03,1.80163e+04
2.09551e+08,6.73934e+03,1.80075e+04
2.09551e+08,6.87616e+03,1.79987e+04
2.09551e+08,7.01576e+03,1.79899e+04
2.09551e+08,7.15819e+03,1.79811e+04
2.09551e+08,7.30351e+03,1.79723e+04
2.09551e+08,7.45178e+03,1.79635e+04
2.09551e+08,7.60306e+03,1.79547e+04
2.09551e+08,7.75742e+03,1.79459e+04
2.09551e+08,7.91490e+03,1.79371e+04
2.09551e+08,8.07559e+03,1.79284e+04
2.09551e+08,8.23953e+03,1.79196e+04
2.09551e+08,8.40681e+03,1.79108e+04
2.09551e+08,8.57748e+03,1.79021e+04
2.09551e+08,8.75161e+03,1.78933e+04
2.09551e+08,8.92928e+03,1.78845e+04
2.09551e+08,9.11056e+03,1.78758e+04
2.09551e+08,9.29552e+03,1.78670e+04
2.09551e+08,9.48423e+03,1.78583e+04
2.09551e+08,9.67678e+03,1.78496e+04
2.09551e+08,9.87323e+03,1.78408e+04
2.09551e+08,1.00737e+04,1.78321e+04
2.09551e+08,1.02782e+04,1.78234e+04
2.09551e+08,1.04868e+04,1.78146e+04
2.09551e+08,1.06997e+04,1.78059e+04
2.09551e+08,1.09170e+04,1.77972e+04
2.09551e+08,1.11386e+04,1.77885e+04
2.09551e+08,1.13647e+04,1.77798e+04
2.09551e+08,1.15954e+04,1.77711e+04
2.09551e+08,1.18308e+04,1.77624e+04
2.09551e+08,1.20710e+04,1.77537e+04
2.09551e+08,1.23161e+04,1.77450e+04
2.09551e+08,1.25661e+04,1.77363e+04
2.09551e+08,1.28212e+04,1.77276e+04
2.09551e+08,1.30815e+04,1.77190e+04
2.09551e+08,1.33471e+04,1.77103e+04
2.09551e+08,1.36181e+04,1.77016e+04
2.09551e+08,1.38945e+04,1.76930e+04
2.09551e+08,1.41766e+04,1.76843e+04
2.09551e+08,1.44644e+04,1.76757e+04
2.09551e+08,1.47581e+04,1.76670e+04
2.09551e+08,1.50577e+04,1.76584e+04
2.09551e+08,1.53634e+04,1.76497e+04
2.09551e+08,1.56753e+04,1.76411e+04
2.09551e+08,1.59935e+04,1.76324e+04
2.09551e+08,1.63182e+04,1.76238e+04
2.09551e+08,1.66495e+04,1.76152e+04
2.09551e+08,1.69875e+04,1.76066e+04
2.09551e+08,1.73323e+04,1.75980e+04
2.09551e+08,1.76842e+04,1.75893e+04
2.09551e+08,1.80432e+04,1.75807e+04
2.09551e+08,1.84095e+04,1.75721e+04
2.09551e+08,1.87833e+04,1.75635e+04
2.09551e+08,1.91646e+04,1.75549e+04
2.09551e+08,1.95537e+04,1.75463e+04
2.09551e+08,1.99506e+04,1.75378e+04
2.09551e+08,2.03557e+04,1.75292e+04
2.09551e+08,2.07689e+04,1.75206e+04
2.09551e+08,2.11905e+04,1.75120e+04
2.09551e+08,2.16207e+04,1.75034e+04
2.09551e+08,2.20597e+04,1.74949e+04
2.09551e+08,2.25075e+04,1.74863e+04
2.09551e+08,2.29645e+04,1.74778e+04
2.09551e+08,2.34307e+04,1.74692e+04
2.09551e+08,2.39063e+04,1.74607e+04
2.09551e+08,2.43917e+04,1.74521e+04
2.09551e+08,2.48869e+04,1.74436e+04
2.09551e+08,2.53921e+04,1.74350e+04
2.09551e+08,2.59076e+04,1.74265e+04
2.09551e+08,2.64336e+04,1.74180e+04
2.09551e+08,2.69702e+04,1.74094e+04
2.09551e+08,2.75177e+04,1.74009e+04
2.09551e+08,2.80764e+04,1.73924e+04
2.09551e+08,2.86464e+04,1.73839e+04
2.09551e+08,2.92279e+04,1.73754e+04
2.09551e+08,2.98213e+04,1.73669e+04
2.09551e+08,3.04267e+04,1.73584e+04
2.09551e+08,3.10444e+04,1.73499e+04
2.09551e+08,3.16747e+04,1.73414e+04
2.09551e+08,3.23177e+04,1.73329e+04
2.09551e+08,3.29738e+04,1.73244e+04
2.09551e+08,3.36432e+04,1.73160e+04
2.09551e+08,3.43262e+04,1.73075e+04
2.09551e+08,3.50231e+04,1.72990e+04
2.09551e+08,3.57341e+04,1.72905e+04
2.09551e+08,3.64596e+04,1.72821e+04
2.09551e+08,3.71998e+04,1.72736e+04
2.09551e+08,3.79550e+04,1.72652e+04
2.09551e+08,3.87255e+04,1.72567e+04
2.09551e+08,3.95117e+04,1.72483e+04
2.09551e+08,4.03138e+04,1.72398e+04
2.09551e+08,4.11323e+04,1.72314e+04
2.09551e+08,4.19673e+04,1.72230e+04
2.09551e+08,4.28193e+04,1.72145e+04
2.09551e+08,4.36886e+04,1.72061e+04
2.09551e+08,4.45755e+04,1.71977e+04
2.09551e+08,4.54805e+04,1.71893e+04
2.09551e+08,4.64038e+04,1.71809e+04
2.09551e+08,4.73459e+04,1.71725e+04
2.09551e+08,4.83071e+04,1.71640e+04
2.09551e+08,4.92878e+04,1.71556e+04
2.09551e+08,5.02884e+04,1.71473e+04
2.09551e+08,5.13093e+04,1.71389e+04
2.09551e+08,5.23509e+04,1.71305e+04
2.09551e+08,5.34137e+04,1.71221e+04
2.09551e+08,5.44981e+04,1.71137e+04
2.09551e+08,5.56045e+04,1.71053e+04
2.09551e+08,5.67334e+04,1.70970e+04
2.09551e+08,5.78851e+04,1.70886e+04
2.09551e+08,5.90603e+04,1.70802e+04
2.09551e+08,6.02593e+04,1.70719e+04
2.09551e+08,6.14826e+04,1.70635e+04
2.09551e+08,6.27308e+04,1.70552e+04
2.09551e+08,6.40044e+04,1.70468e+04
2.09551e+08,6.53037e+04,1.70385e+04
2.09551e+08,6.66295e+04,1.70301e+04
2.09551e+08,6.79822e+04,1.70218e+04
2.09551e+08,6.93623e+04,1.70135e+04
2.09551e+08,7.07705e+04,1.70051e+04
2.09551e+08,7.22072e+04,1.69968e+04
2.09551e+08,7.36731e+04,1.69885e+04
2.09551e+08,7.51688e+04,1.69802e+04
2.09551e+08,7.66948e+04,1.69719e+04
2.09551e+08,7.82518e+04,1.69636e+04
2.09551e+08,7.98405e+04,1.69553e+04
2.09551e+08,8.14613e+04,1.69470e+04
2.09551e+08,8.31151e+04,1.69387e+04
2.09551e+08,8.48025e+04,1.69304e+04
2.09551e+08,8.65241e+04,1.69221e+04
2.09551e+08,8.82806e+04,1.69138e+04
2.09551e+08,9.00729e+04,1.69055e+04
2.09551e+08,9.19015e+04,1.68973e+04
2.09551e+08,9.37672e+04,1.68890e+04
2.09551e+08,9.56708e+04,1.68807e+04
2.09551e+08,9.76131e+04,1.68725e+04
2.09551e+08,9.95948e+04,1.68642e+04
2.09551e+08,1.01617e+05,1.68560e+04
2.09551e+08,1.03680e+05,1.68477e+04
2.09551e+08,1.05784e+05,1.68395e+04
2.09551e+08,1.07932e+05,1.68312e+04
2.09551e+08,1.10123e+05,1.68230e+04
2.09551e+08,1.12359e+05,1.68148e+04
2.09551e+08,1.14640e+05,1.68065e+04
2.09551e+08,1.16967e+05,1.67983e+04
2.09551e+08,1.19342e+05,1.67901e+04
2.09551e+08,1.21764e+05,1.67561e+04
2.09551e+08,1.24235e+05,1.67212e+04
2.09551e+08,1.26756e+05,1.66849e+04
2.09551e+08,1.29329e+05,1.66459e+04
2.09551e+08,1.31953e+05,1.66059e+04
2.09551e+08,1.34631e+05,1.65647e+04
2.09551e+08,1.37363e+05,1.65212e+04
2.09551e+08,1.40149e+05,1.64710e+04
2.09551e+08,1.42991e+05,1.64099e+04
2.09551e+08,1.45892e+05,1.63578e+04
2.09551e+08,1.48851e+05,1.63048e+04
2.09551e+08,1.51870e+05,1.62485e+04
2.09551e+08,1.54950e+05,1.61893e+04
2.09551e+08,1.58093e+05,1.61298e+04
2.09551e+08,1.60582e+05,1.60696e+04
2.09551e+08,1.63838e+05,1.60020e+04
2.09551e+08,1.67149e+05,1.58849e+04
2.09551e+08,1.70539e+05,1.58313e+04
2.09551e+08,1.73996e+05,1.57601e+04
2.09551e+08,1.77521e+05,1.56805e+04
2.09551e+08,1.81051e+05,1.54523e+04
2.09551e+08,1.84723e+05,1.53968e+04
2.09551e+08,1.88467e+05,1.53237e+04
2.09551e+08,1.92283e+05,1.52355e+04
2.09551e+08,1.96174e+05,1.51365e+04
2.09551e+08,2.00136e+05,1.50146e+04
2.09551e+08,2.04178e+05,1.48936e+04
2.09551e+08,2.08298e+05,1.47620e+04
2.09551e+08,2.12495e+05,1.46198e+04
2.09551e+08,2.16772e+05,1.44678e+04
2.09551e+08,2.21124e+05,1.42965e+04
2.09551e+08,2.25559e+05,1.41210e+04
2.09551e+08,2.30072e+05,1.39309e+04
2.09551e+08,2.34662e+05,1.37254e+04
2.09551e+08,2.39327e+05,1.35047e+04
2.09551e+08,2.44058e+05,1.32612e+04
2.09551e+08,2.48848e+05,1.29925e+04
2.09551e+08,2.53686e+05,1.26969e+04
2.09551e+08,2.58553e+05,1.23696e+04
2.09551e+08,2.63420e+05,1.20046e+04
2.09551e+08,2.68258e+05,1.16028e+04
2.09551e+08,2.72978e+05,1.11490e+04
2.09551e+08,2.77504e+05,1.06464e+04
2.09551e+08,2.81640e+05,1.00841e+04
2.09551e+08,2.85210e+05,9.47449e+03
2.09551e+08,2.88061e+05,8.83814e+03
2.09551e+08,2.89976e+05,8.19435e+03
2.09551e+08,2.90937e+05,7.57106e+03
2.09551e+08,2.91045e+05,6.98696e+03
2.09551e+08,2.90405e+05,6.45063e+03
2.09551e+08,2.89219e+05,5.96257e+03
2.09551e+08,2.87632e+05,5.51906e+03
2.09551e+08,2.85732e+05,5.11578e+03
2.09551e+08,2.83595e+05,4.74823e+03
2.09551e+08,2.81270e+05,4.41248e+03
2.09551e+08,2.78801e+05,4.10499e+03
2.09551e+08,2.76218e+05,3.82267e+03
2.09551e+08,2.73536e+05,3.56323e+03
2.09551e+08,2.70785e+05,3.32405e+03
2.09551e+08,2.67985e+05,3.10303e+03
2.09551e+08,2.65140e+05,2.89868e+03
2.09551e+08,2.62266e+05,2.70937e+03
2.09551e+08,2.59372e+05,2.53371e+03
2.09551e+08,2.56460e+05,2.37068e+03
2.09551e+08,2.53542e+05,2.21905e+03
2.09551e+08,2.50625e+05,2.07788e+03
2.09551e+08,2.47708e+05,1.94643e+03
2.09551e+08,2.44797e+05,1.82392e+03
2.09551e+08,2.41896e+05,1.70960e+03
2.09551e+08,2.39008e+05,1.60288e+03
2.09551e+08,2.36134e+05,1.50321e+03
2.09551e+08,2.33280e+05,1.41001e+03
2.09551e+08,2.30444e+05,1.32288e+03
2.09551e+08,2.27630e+05,1.24133e+03
2.09551e+08,2.24840e+05,1.16497e+03
2.09551e+08,2.22075e+05,1.09346e+03
2.09551e+08,2.19337e+05,1.02644e+03
2.09551e+08,2.16627e+05,9.63608e+02
2.09551e+08,2.13946e+05,9.04677e+02
2.09551e+08,2.11297e+05,8.49374e+02
2.09551e+08,2.08680e+05,7.97456e+02
2.09551e+08,2.06097e+05,7.48691e+02
2.09551e+08,2.03550e+05,7.02871e+02
2.09551e+08,2.01040e+05,6.59792e+02
2.09551e+08,1.98570e+05,6.19270e+02
2.09551e+08,1.96141e+05,5.81136e+02
2.09552e+08,1.93755e+05,5.45234e+02
2.09552e+08,1.91413e+05,5.11428e+02
2.09552e+08,1.89115e+05,4.79596e+02
2.09552e+08,1.86862e+05,4.49629e+02
2.09552e+08,1.84652e+05,4.21415e+02
2.09553e+08,1.82487e+05,3.94859e+02
2.09553e+08,1.80366e+05,3.69862e+02
2.09554e+08,1.78291e+05,3.46333e+02
2.09555e+08,1.76263e+05,3.24185e+02
2.09556e+08,1.74277e+05,3.03359e+02
2.09557e+08,1.72337e+05,2.83772e+02
2.09559e+08,1.70434e+05,2.65385e+02
2.09561e+08,1.68568e+05,2.48126e+02
2.09563e+08,1.66738e+05,2.31937e+02
2.09565e+08,1.64936e+05,2.16780e+02
2.09568e+08,1.63160e+05,2.02593e+02
2.09571e+08,1.61404e+05,1.89331e+02
2.09574e+08,1.59664e+05,1.76946e+02
2.09577e+08,1.57940e+05,1.65383e+02
2.09581e+08,1.56226e+05,1.54596e+02
2.09585e+08,1.54519e+05,1.44540e+02
2.09589e+08,1.52821e+05,1.35161e+02
2.09593e+08,1.51130e+05,1.26417e+02
2.09598e+08,1.49444e+05,1.18269e+02
2.09602e+08,1.47763e+05,1.10671e+02
2.09607e+08,1.46091e+05,1.03582e+02
2.09612e+08,1.44425e+05,9.69711e+01
2.09617e+08,1.42764e+05,9.08067e+01
2.09622e+08,1.41111e+05,8.50519e+01
2.09627e+08,1.39468e+05,7.96786e+01
2.09633e+08,1.37831e+05,7.46628e+01
2.09639e+08,1.36202e+05,6.99810e+01
2.09644e+08,1.34583e+05,6.56061e+01
2.09650e+08,1.32975e+05,6.15153e+01
2.09656e+08,1.31377e+05,5.76914e+01
